Competency;Essex Graduate;Skill;Skill Level;Evidence;;;Skill Level Key;
;;Python;Trained;(as above);;;;
;;noSQL;Aware;I am aware of noSQL as a concept, plus the benefits and challenges from the Analysis of Big Data Module, however his was my first introduction to the this form of DBMS;;;;
;;Scripting Language (Python);Trained;;;;;
;;Statistical Language (R);Trained;Developed in Numerical Analysis module and demonstrated through assessment;;;;
;;Gits - repository development and maintenance;Trained;e-portfolio is developed using GIT.  I have therefore developed general knowledge of working within Github, uploading and maintaining my documents.;;;;
;;Use of conferenceing technologies and Moodle (VLE);Aware;I have not worked with these;;;;
;;Use of Word Processing tools and Spreadsheets;Trained;daily use of basicword processing and excel tooks.  ;;;;
;;Effective use of e-library resources;Proficient;throughout my professional life I have authored papers and researched topics utilising peer reviewed publications and elibrary sources including pubmed, research gate, university and business library resources.  ;;;;
Subject Application;Global Citizen, Teamwork, Leadership, Emotional Intelligence;Take into account other people's perspectives;Proficient;working in a global team I find value in exposure to alternative views and perspectives, I find this is required to optimise learning and would like to have seen more of this in the course. ;;;;
;;Work constructively with differences in viewpoints;Proficient;proficient in working in multidisciplinary teams where different viewpoints and priorities must be best addressed for business and customer need;;;;
;;Actively participate in a range of community activities as an informed citizen;Trained;I am actively involved in cross disciplinary teams professionally to ensure compliance with relevant regulatory acts.  Development area: I would like to join a forum or discussion group in my prefessional life which can utilise my data sceince skills. E.g. discussions on data collection/analysis/management. ;;;;
;Decision Making, Initiative, Emotional Intelligence, Ethical Awareness;Develop, articulate and clarify your personal values and ethics;Proficient;;;;;
;;;;;;;;
This is by no means a comprehensive list of Professional skills required for your programme.  It is meant to be used as a guide for your SWOT analysis/action plan as part of your Professional Development Plan (PDP).  ;;;;;;;;
As you progress through the course, you will discover other skills you need to develop or currently have. These can be described in further detail in your SWOT analysis/action plan.  ;;;;;;;;
As this is required in various modules, you may end up with different versions of this Matrix.  You can collate them in your Learning Loop as part of your final PDP at the end of your programme.;;;;;;;;
;;;;;;;;
Adapted from BCS guidelines and Essex graduate;;;;;;;;

